issue_id,site_id,severity,category,url_or_route,device_language,evidence,impact,likely_root_cause,recommended_fix,verification_method,owner,status
BZ-I18N-001,bzmagnet,P1,localization,"/[locale], /[locale]/products/[category], /[locale]/news, /[locale]/blog, /[locale]/about-contact, /[locale]/privacy, /[locale]/terms","es|pt|ar|ru","Hardcoded English arrays and JSX in app/[locale] templates","Mixed-language public site and incomplete RTL/local-market experience","Locale model applied to product data but not all UI/content templates","Move all visible copy/metadata/alt/empty states into reviewed locale contracts; do not publish incomplete locales","External-region render each locale; compare title/H1/body/CTA/form/error/alt/schema and Arabic direction","Content + Engineering",open
BZ-FORM-001,bzmagnet,P1,forms,"/[locale]/request-quote and about-contact","es|pt|ar|ru","components/QuoteForm.tsx has English labels/messages and no locale prop","Core conversion flow is not localized","Shared form was implemented English-first without locale message contract","Localize field labels validation errors consent submit and response states; add locale-aware tests","Submit only to dedicated safe test inbox in every locale; verify accessible errors and RTL","Engineering + Sales Ops",open
BZ-SEO-001,bzmagnet,P1,seo,"/sitemap.xml","all","app/sitemap.ts fixed list omits source-present public route families equipment industries solutions resources about contact","Important public pages may have weaker discovery or inconsistent index policy","Sitemap was built from limited fixed list while route surface grew","Define canonical/index policy for every public route; include indexable URLs or redirect/noindex legacy equivalents","Crawl sitemap from external region; all listed URLs 200 self-canonical indexable; omitted pages have documented canonical policy","SEO + Engineering",open
BZ-SEO-002,bzmagnet,P2,seo,"/sitemap.xml","all","Fixed and product entries set lastModified: new Date()","Search engines receive non-factual change timestamps","No source-based modification timestamp is exposed","Use real content modification time or omit lastmod","Compare sitemap lastmod to content publication/update audit dates","SEO + Engineering",open
BZ-SEO-003,bzmagnet,P2,seo,"/en/ and hreflang/canonical","all","Live /en/ 308 redirects to /en; lib/seo.ts produces trailing-slash locale alternate","Potential canonical/redirect inconsistency","Trailing slash policy differs between generated metadata and Next normalization","Select one URL policy and align redirects canonical hreflang sitemap internal links","External curl + rendered metadata show one final canonical URL with one-hop redirect","SEO + Engineering",open
BZ-UX-001,bzmagnet,P2,reliability,"404 and unhandled errors","all","No public app/not-found.tsx app/[locale]/not-found.tsx app/error.tsx or app/global-error.tsx found","Poor recovery experience and unclear error handling","Only admin has dedicated error/loading components","Implement localized public 404/error/loading boundaries after approval","Request unknown locale/product URL and force safe error in staging; verify navigation and no stack disclosure","Engineering",open
BZ-FORM-002,bzmagnet,P2,security,"/api/inquiries","all","In-memory Map is the only rate limit state","Multi-instance traffic can evade the intended 60-second limit","Serverless-local state is not shared/durable","Use a shared rate-limit store or managed edge rule; retain server validation and honeypot","Concurrent requests across instances are consistently limited without rejecting normal users","Engineering + Security",open
BZ-FORM-003,bzmagnet,P2,data_sync,"/api/inquiries -> database -> SMTP","all","SMTP variable names and code path exist; no safe test inbox submission or run history was authorized","Mail delivery, retry and admin visibility are unproven","No dedicated test recipient/runbook evidence in current audit scope","Create isolated test recipient and non-production/staging verification runbook","Check all six states frontend endpoint DB email CRM alert without real lead data","Sales Ops + Engineering",open
BZ-GSC-001,bzmagnet,P2,indexing,"/api/admin/search-console/sync","all","Service-account and sync variables exist; no successful OAuth/API/DB status read","Search data displayed in admin may be empty or stale without alert","Integration existence was verified but runtime state was not","Read last successful sync/error from protected admin or audit table; add clear stale state if absent","Compare admin timestamp/rows with Search Console UI read-only data","SEO + Engineering",open
BZ-NEWS-001,bzmagnet,P2,news_blog,"/api/cron/news-review; /api/cron/news-publish","all","Cron config and safety code/tests exist; no persistent execution history was read","Automation health and public consistency are unproven","Production data/run log access not exercised under read-only constraints","Read cron/job history and one published item without triggering jobs","Last run, lock, duplicate protection, front-end visibility, sitemap/RSS all agree","Content Ops + Engineering",open
BZ-PRIVACY-001,bzmagnet,P2,privacy,"/[locale]/privacy","all","Privacy copy describes enquiry processing, while analytics code persists anonymous sessions/page/device/locale/channel","Disclosure may not reflect actual data processing","Privacy text did not expand with first-party analytics feature","Align privacy notice and retention/deletion controls with actual collection following legal review","Legal/privacy review confirms disclosure, consent behavior, retention, and data minimization","Legal + Engineering",open
BZ-TEST-001,bzmagnet,P2,qa,"public production pages","320|375|390|414|768|1024|1280|1440; ar","CN-region access returned 403/noindex; browser automation unavailable","No valid proof of international visual/mobile/browser acceptance","Intentional regional blocking plus missing test runner in current audit environment","Run external-region browser matrix and save screenshots/console/network results","All template flows pass without horizontal overflow, broken images, console errors, or dead CTA","QA",open
BZ-SEC-001,bzmagnet,P3,code_quality,"components/SiteHeader.tsx","all","eslint reports one react-hooks/exhaustive-deps cleanup warning; 0 lint errors","Low-risk focus restoration fragility during drawer cleanup","Ref current read during effect cleanup","Capture ref value in effect before cleanup","Lint has zero warnings and keyboard drawer behavior remains correct","Engineering",open
